"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ফসল নির্বাচনের নীতিমালা","","ফসল নির্বাচনের নীতিমালা"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","মাটির প্রকারভেদ ও ফসল নির্বাচন","","মাটির প্রকারভেদ ও ফসল নির্বাচন"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","জলবায়ু অঞ্চলভিত্তিক ফসল নির্বাচন","","জলবায়ু অঞ্চলভিত্তিক ফসল নির্বাচন"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","কৃষি যন্ত্রপাতির পরিচিতি ও প্রকারভেদ","","কৃষি যন্ত্রপাতির পরিচিতি ও প্রকারভেদ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ভূমিক্ষয়ের ধারণা ও প্রকারভেদ","","ভূমিক্ষয়ের ধারণা ও প্রকারভেদ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","প্রাকৃতিক ভূমিক্ষয়","আস্তরণ, রিল, নালা-গালি, নদী ভাঙন","প্রাকৃতিক ভূমিক্ষয় (আস্তরণ, রিল, নালা-গালি, নদী ভাঙন)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","মানবকৃতক ভূমিক্ষয়","","মানবকৃতক ভূমিক্ষয়"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ভূমিক্ষয়ের ক্ষতিসমূহ","","ভূমিক্ষয়ের ক্ষতিসমূহ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ভূমিক্ষয়ের কারণসমূহ","","ভূমিক্ষয়ের কারণসমূহ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ভূমিক্ষয়রোধকর কার্যকরী উপায়","","ভূমিক্ষয়রোধকর কার্যকরী উপায়"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","বীজ সংরক্ষণের ধারণা ও গুরুত্ব","","বীজ সংরক্ষণের ধারণা ও গুরুত্ব"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","বীজ উৎপাদন ও শুকানোর পদ্ধতি","","বীজ উৎপাদন ও শুকানোর পদ্ধতি"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","বীজ প্রক্রিয়াজাতকরণ ও মান নিয়ন্ত্রণ","","বীজ প্রক্রিয়াজাতকরণ ও মান নিয়ন্ত্রণ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","বীজের গুণমান পরীক্ষা","অঙ্গোদগম, আর্দ্রতা, জীবনশক্তি","বীজের গুণমান পরীক্ষা (অঙ্গোদগম, আর্দ্রতা, জীবনশক্তি)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","বীজ বিক্রয় ও সংরক্ষণের পদ্ধতি","","বীজ বিক্রয় ও সংরক্ষণের পদ্ধতি"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","বীজ সংরক্ষণের প্রকারভেদ","ধান গোলায়, ভেলে, পলিথিন ব্যাগে, মাটকায়","বীজ সংরক্ষণের প্রকারভেদ (ধান গোলায়, ভেলে, পলিথিন ব্যাগে, মাটকায়)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","খাদ্য সংরক্ষণের প্রয়োজনীয়তা","","খাদ্য সংরক্ষণের প্রয়োজনীয়তা"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","খাদ্য সংরক্ষণের পদ্ধতি ও ধাপসমূহ","","খাদ্য সংরক্ষণের পদ্ধতি ও ধাপসমূহ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","পশুপাখির খাদ্য সংরক্ষণ","হেঁ তৈরি, সাইলেজ তৈরি, খড় তৈরি","পশুপাখির খাদ্য সংরক্ষণ (হেঁ তৈরি, সাইলেজ তৈরি, খড় তৈরি)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","সম্পূরক খাদ্যের ধারণা ও প্রয়োজনীয়তা","","সম্পূরক খাদ্যের ধারণা ও প্রয়োজনীয়তা"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","মাছের সম্পূরক খাদ্যের উৎস ও উপকারিতা","","মাছের সম্পূরক খাদ্যের উৎস ও উপকারিতা"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","FCR (খাদ্য রূপান্তর হার) ও মাছের সম্পূরক খাদ্য তৈরি","","FCR (খাদ্য রূপান্তর হার) ও মাছের সম্পূরক খাদ্য তৈরি"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","মাছের সম্পূরক খাদ্য প্রয়োগ পদ্ধতি","","মাছের সম্পূরক খাদ্য প্রয়োগ পদ্ধতি"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","গবাদি পশুর সম্পূরক খাদ্য","ইউরিয়া মোলাসেস, ব্রুক, মিল্ক রিপ্লেসার, কাফ স্টার্টার","গবাদি পশুর সম্পূরক খাদ্য (ইউরিয়া মোলাসেস, ব্রুক, মিল্ক রিপ্লেসার, কাফ স্টার্টার)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","আলজির ধারণা ও পুষ্টিমান","","আলজির ধারণা ও পুষ্টিমান"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","আলজি চাষের পদ্ধতি ও খাওয়ানোর কৌশল","","আলজি চাষের পদ্ধতি ও খাওয়ানোর কৌশল"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","ফসল বীজ উৎপাদনের ধাপসমূহ","","ফসল বীজ উৎপাদনের ধাপসমূহ"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","বংশবিস্তারক উপকরণ উৎপাদনের ধাপসমূহ","","বংশবিস্তারক উপকরণ উৎপাদনের ধাপসমূহ"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","বীজ আলু উৎপাদন পদ্ধতি","","বীজ আলু উৎপাদন পদ্ধতি"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","ফসল বীজ ও বংশবিস্তারক উপকরণের গুরুত্ব","","ফসল বীজ ও বংশবিস্তারক উপকরণের গুরুত্ব"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","মাছের পুকুরের বৈশিষ্ট্য ও জলের গুণাগুণ","","মাছের পুকুরের বৈশিষ্ট্য ও জলের গুণাগুণ"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","পুকুরের প্রকারভেদ ও বিভিন্ন স্তর","","পুকুরের প্রকারভেদ ও বিভিন্ন স্তর"
