grade,subject,chapter,topic,human check
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,খাদ্য উপাদান,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,আদর্শ খাদ্য পিরামিড,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,খাদ্য সংরক্ষণের প্রয়োজনীয়তা,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,প্রাকৃতিক খাদ্যের প্রভাব,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,ফাস্ট ফুডের প্রভাব,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,ভিটামিনের উৎস,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,ভিটামিন অভাবজনিত প্রতিকার,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,খনিজ লবণের উৎস,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,খনিজ লবণ অভাবজনিত প্রতিকার,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,পানির উপকারিতা,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,আঁশযুক্ত খাবারের উপকারিতা,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,বড়ি মাস ইনডেক্সের প্রয়োজনীয়তা,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,খাদ্যে রাসায়নিক পদার্থের ব্যবহার,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,খাদ্যে রাসায়নিক পদার্থের শারীরিক প্রতিক্রিয়া,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,তামাকের ক্ষতিকর প্রতিক্রিয়া,can be merged: তামাক ও ড্রাগের ক্ষতিকর প্রতিক্রিয়া
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,ড্রাগের ক্ষতিকর প্রতিক্রিয়া,
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,এইউদস কী,Error reading & spelling mistake: এইডস কী
9-10,science,অধ্যায় ১: উন্নততর জীবনধারা,শারীরিক ফিটনেস বজায় রাখার কৌশল,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির ধর্ম,"Can be merged: পানির ধর্ম, গঠন ও উৎস"
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির গঠন,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির বিভিন্ন উৎস,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,জলজ উদ্ভিদের জন্য পানির প্রয়োজনীয়তা,Can be merged: জলজ উদ্ভিদ ও প্রাণীর পানির প্রয়োজনীয়তা
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,জলজ প্রাণীর জন্য পানির প্রয়োজনীয়তা,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির মানদণ্ড,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পরিবেশ সংরক্ষণে পানির পুনরাবৃত্তির ভূমিকা,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,মানসম্মত পানির প্রয়োজনীয়তা,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানি বিশুদ্ধকরণ প্রক্রিয়া,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,বাংলাদেশে পানির উৎসে দূষণের কারণ,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানিদূষণের প্রভাব,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,বাংলাদেশের মিঠা পানিতে বৈশ্বিক উষ্ণতার প্রভাব,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানিদূষণ প্রতিরোধের কৌশল,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানিদূষণ প্রতিরোধে নাগরিকের দায়িত্ব,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,উন্নয়ন কার্যক্রমে পানির ভূমিকা,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,বাংলাদেশে পানির উৎসে হুমকির প্রভাব,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির উৎস সংরক্ষণের প্রয়োজনীয়তা,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির উৎস সংরক্ষণের কৌশল,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানি প্রাপ্ত সকল নাগরিকের মৌলিক অধিকার,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানি ব্যবহারের সর্বজনীনতা,Can be merged: পানি ব্যবহারের সর্বজনীনতা ও আন্তর্জাতিক নিয়মনীতি
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,আন্তর্জাতিক নিয়মনীতি,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,বিশুদ্ধ পানির ব্যবহার,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,সুস্থ জীবনযাপনে পানির প্রভাব,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির সংকটের কারণ,"Can be merged: পানি সংকট, সংরক্ষণ ও সচেতনতা"
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানি ব্যবহারে সচেতনতা,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানি সংরক্ষণে সচেতনতা,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির অপচয়রোধ,
9-10,science,অধ্যায় ২: জীবনের জন্য পানি,পানির কার্যকর ব্যবহার,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তের উপাদান,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তের কার্যক্রম,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তের গ্রুপের বৈশিষ্ট্য,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তের স্থানান্তরের নীতি,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্ত গ্রহণে প্রয়োজনীয় সতর্কতা,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তে বিষাক্ততা সৃষ্টির কারণ,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তে বিষাক্ততার ফলাফল,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,শরীরে রক্ত সংগ্রহলন কার্যক্রম,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,আদর্শ রক্তচাপ,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,"হার্টবিট, হার্টরেট",
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,পালসরেটের মধ্যে সম্পর্ক,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তচাপজনিত শারীরিক সমস্যা সৃষ্টির কারণ,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তচাপজনিত সমস্যার প্রতিরোধের কৌশল,
