"grade","subject","chapter","topic"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","সেটের ধারণা ও প্রকারভেদ"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","সেট প্রকাশের পদ্ধতি (রোস্টার, সেট-বিল্ডার)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","সাবসেট ও প্রপার সাবসেট"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","ভেনচিত্র অঙ্কন"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","সেটের সংক্রিয়া (ইউনিয়ন, ইন্টারসেকশন, ডিফারেন্স, কমপ্লিমেন্ট)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","শক্তি সেট"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","সমবিশিষ্ট ও বিশিষ্ট সেট"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","কার্টেশিয়ান গুণফল"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","অবয় (Relation)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","ফাংশনের ধারণা ও সংজ্ঞা"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","ডোমেন ও কোডোমেন"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","প্রতিবিম্ব ও প্রাক প্রতিবিম্ব"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","ফাংশনের রেঞ্জ"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","এক-এক ফাংশন (One-One Function)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","বিপরীত ফাংশন (Inverse Function)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","সার্বিক ফাংশন (Onto Function)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","ফাংশনের লেখচিত্র"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","সরলরেখিক ফাংশন (Linear Function)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","দ্বিঘাত ফাংশন (Quadratic Function)"
"9-10","higher-math","অধ্যায় ১: সেট ও ফাংশন","বৃত্তের লেখচিত্র"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","বহুপদীর ধারণা ও সংজ্ঞা"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","চলক, ধ্রুবক ও বহুপদী"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","এক চলকের বহুপদী (মাত্রা, মুখ্যসহগ, ধ্রুবপদ)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","দুই চলকের বহুপদী"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","তিন চলকের বহুপদী"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","বহুপদীর গুণফল ও ভাগফল"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","ভাগ সূত্র (P(x) = F(x)Q(x) + R(x))"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","সমমাত্রিক বহুপদী (Homogeneous Polynomial)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","প্রতিসম রাশি (Symmetric Expression)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","চক্রক্রমিক রাশি (Cyclic Expression)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","চক্রক্রমিক বহুপদীর উৎপাদকে বিশ্লেষণ"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","সমতা সূত্র (Identity)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","ভাগশেষ উপপাদ্য (Remainder Theorem)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","উৎপাদক উপপাদ্য (Factor Theorem)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","উৎপাদকে বিশ্লেষণ (Factorization)"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","মূলদ ভগ্নাংশ (Rational Fractions)"
